group_by,group,win_rate,win_rate_ci_low,win_rate_ci_high,capture_rate,capture_rate_ci_low,capture_rate_ci_high,survival_rate,survival_rate_ci_low,survival_rate_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high,mean_barriers,mean_barriers_ci_low,mean_barriers_ci_high,mean_score,mean_score_ci_low,mean_score_ci_high,n
opponent_family,adversarial_corner,0.134642,0.109397,0.159888,0.134642,0.109397,0.159888,0.865358,0.840112,0.890603,32.575035,31.653576,33.4446,1.538569,1.409537,1.671809,7.019635,6.640954,7.398317,713
opponent_family,barrier_aware,0.039271,0.025245,0.054698,0.039271,0.025245,0.054698,0.960729,0.945302,0.974755,35.626928,35.067321,36.194951,3.97756,3.782609,4.1669,5.58906,5.378682,5.820477,713
opponent_family,center_mobility,0.092567,0.071529,0.115007,0.092567,0.071529,0.115007,0.907433,0.884993,0.928471,34.078541,33.287518,34.828892,4.330996,4.14446,4.517532,6.388499,6.072931,6.725105,713
opponent_family,evasive,0.018233,0.009818,0.02805,0.018233,0.009818,0.02805,0.981767,0.97195,0.990182,36.391304,35.960729,36.821879,3.044881,2.854137,3.235624,5.273492,5.147265,5.420757,713
opponent_family,pursuit,0.053296,0.037868,0.070126,0.053296,0.037868,0.070126,0.946704,0.929874,0.962132,35.256662,34.667602,35.83871,3.643759,3.419355,3.87237,5.799439,5.568022,6.051893,713
opponent_family,random_legal,0.072323,0.055633,0.091794,0.072323,0.055633,0.091794,0.927677,0.908206,0.944367,34.630042,33.888734,35.289291,3.001391,2.802503,3.179416,6.08484,5.834492,6.376912,719
opponent_family,scent_aware,0.035063,0.02244,0.049088,0.035063,0.02244,0.049088,0.964937,0.950912,0.97756,35.805049,35.227209,36.354839,3.792426,3.570827,4.008415,5.525947,5.336606,5.736325,713
