group_by,group,win_rate,win_rate_ci_low,win_rate_ci_high,capture_rate,capture_rate_ci_low,capture_rate_ci_high,survival_rate,survival_rate_ci_low,survival_rate_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high,mean_barriers,mean_barriers_ci_low,mean_barriers_ci_high,mean_score,mean_score_ci_low,mean_score_ci_high,n
grid,11,0.041667,0.029762,0.054563,0.041667,0.029762,0.054563,0.958333,0.945437,0.970238,33.720238,33.339286,34.088294,2.564484,2.395833,2.739087,5.625,5.446429,5.818452,1008
grid,7,0.074559,0.06398,0.086146,0.074559,0.06398,0.086146,0.925441,0.913854,0.936524,32.708816,32.360202,33.044332,4.058942,3.949118,4.164736,6.118388,5.959698,6.292191,1985
grid,9,0.063872,0.053393,0.07485,0.063872,0.053393,0.07485,0.936128,0.92515,0.946607,37.685629,37.238523,38.142715,2.999002,2.88024,3.12525,5.958084,5.800898,6.122754,2004
