group_by,group,win_rate,win_rate_ci_low,win_rate_ci_high,capture_rate,capture_rate_ci_low,capture_rate_ci_high,survival_rate,survival_rate_ci_low,survival_rate_ci_high,mean_steps,mean_steps_ci_low,mean_steps_ci_high,mean_barriers,mean_barriers_ci_low,mean_barriers_ci_high,mean_score,mean_score_ci_low,mean_score_ci_high,n
config,appendixF-example,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,35.0,35.0,2.777778,1.111111,4.444444,5.0,5.0,5.0,9
config,grid11,0.041667,0.029762,0.054563,0.041667,0.029762,0.054563,0.958333,0.945437,0.970238,33.720238,33.339286,34.088294,2.564484,2.395833,2.739087,5.625,5.446429,5.818452,1008
config,grid7,0.074899,0.058704,0.091093,0.074899,0.058704,0.091093,0.925101,0.908907,0.941296,32.698381,32.201417,33.201417,4.064777,3.908907,4.233806,6.123482,5.880567,6.366397,988
config,grid7-quota22,0.074899,0.058704,0.093117,0.074899,0.058704,0.093117,0.925101,0.906883,0.941296,32.698381,32.156883,33.200405,4.064777,3.896761,4.218623,6.123482,5.880567,6.396761,988
config,grid9,0.063872,0.0499,0.080838,0.063872,0.0499,0.080838,0.936128,0.919162,0.951098,33.00499,32.479042,33.45509,2.999002,2.817365,3.194611,5.958084,5.748503,6.212575,1002
config,grid9-horizon45,0.063872,0.0499,0.080838,0.063872,0.0499,0.080838,0.936128,0.92016,0.9501,42.366267,41.687625,42.964072,2.999002,2.812375,3.167665,5.958084,5.748503,6.212575,1002
