schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,2328949219399020792,b010503c1fc0036c77967698d5aebda72a5bbbd59b8ba4c6d05a092e834b973c,"0,0","8,7",grid9,9,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,4364154954627974050,b07a0f1bbe2b075716daa9bc3314896b720ea5f9df0fcfe931406385683970e8,"0,0","5,2",grid7-quota22,7,22,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,16430201566072075245,b14ae784d0536e9bb23ac07e2181a1606c9d5f0285b13f13f9d178beb3f6860e,"2,8","2,7",grid9-horizon45,9,14,45,SURVIVAL,0,45,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,evasive,development,12403128132904351122,b1d915ebbae7a7c6b5c9c32299a8d979689591b5abc73544ee57e26be424febd,"6,6","3,6",grid7-quota22,7,22,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,random_legal,development,102761678283420659,b1dc68d1bd0a0253e2278e1646aeda78f6353fe54f59735a633f61aa7bab24f1,"8,7","7,0",grid9,9,14,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,adversarial_corner,development,9187738737172682972,b24fd301267f87fc2fcd476fb2c2d7422e974ce6491710d2d00ea124af995f27,"5,4","4,3",grid7,7,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,17807834701948516605,b2fafc6c7c5d982e04a3019e15a8260290d0a093e1837456a1824c336764b7d9,"4,0","8,3",grid9-horizon45,9,14,45,SURVIVAL,0,45,8,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,scent_aware,development,6548706108780859560,b32cb5dff1199c6e2ecb3807df50114b4d2d53978d0447e0de597fd5d5f22f35,"0,5","1,5",grid7-quota22,7,22,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,18233810521156587314,b48bbb2534be35495b1a952e880b0d9e0fa19f0307f88e7bffd1ffdcf1eaffb6,"5,4","3,2",grid9,9,14,35,CAPTURE,1,3,2,20,5
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,evasive,development,1064945087040862606,b52a6cd147dde22c1e794a387edba2b3c1f6c4bf5b1bba8b075257a8a281e46d,"4,4","0,1",grid7,7,14,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,1290649954215071610,b557c045a9745f3f8e29d4f5fe9beef858abeeed4af63e45237a016bdaea6259,"0,4","6,0",grid9-horizon45,9,14,45,SURVIVAL,0,45,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,2034576819780579742,b56f368c37388e40146ffa1203be2232c789d261ba082e0ceec4024f36ad9009,"0,5","3,1",grid11,11,14,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,9560056164909575715,b5a1706325a31cfa60032f1fc4f7dd2ee26ee9b04618a8a35336ebc6be48a23a,"2,1","4,2",grid7-quota22,7,22,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,14512652966685734242,b68ab5d120a9766bd2f293e9e4265ca5b8e87afa1538b9fa6f75ad581e79f383,"0,6","6,2",grid7,7,14,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,adversarial_corner,development,15670968856161505515,b7636d0aba3164926de3ef37d4be1c71ac6303eafb718b4185b8a8e79317ec00,"3,8","2,4",grid9-horizon45,9,14,45,SURVIVAL,0,45,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,barrier_aware,development,6900942713815001321,b8e614722e77721c2fc7cefe558512db992758272552e7b5ee09f196219363a2,"1,4","0,1",grid7-quota22,7,22,35,SURVIVAL,0,35,3,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,barrier_aware,development,15670968856161505515,b942d23e91b50847ca53e04505e87718536de4f0b533c773e7ffa2f72a832af7,"3,8","2,4",grid9-horizon45,9,14,45,SURVIVAL,0,45,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,adversarial_corner,development,7109878983092234884,b954211efd4599f62eb5eea7ae04d6adc2ffe74127d86af75622b9201baf2050,"4,2","6,3",grid7-quota22,7,22,35,SURVIVAL,0,35,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,evasive,development,14342069096841001370,ba0ca1818e48e9b807dbefb8b3d6f0059e39037ca5ba33d6312ae5f8880daf59,"5,4","6,2",grid7-quota22,7,22,35,SURVIVAL,0,35,2,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,center_mobility,development,15981755180122153967,bacb78fa423e5578c0abd1694480c4983d6037096c7490762399d57d6706d32e,"0,6","8,3",grid9-horizon45,9,14,45,SURVIVAL,0,45,4,5,10
research-2,police,79f49cde6f2edb5e0d6eb8d574601a71c160ac7e,C3-pressure,1cc0a20d40680874a337dd3f7f2e552924763e42f291066990cb0dc8385c2884,random_legal,development,1064945087040862606,bb96fe7440bbf17b78f2a203df55ae82dd6a72f021c42831dc825a9575fa6c53,"3,0","4,7",grid9,9,14,35,SURVIVAL,0,35,4,5,10
